Frame,Time,Marker,X,Y,Z
1006,2024-12-20 15:39:42.374019 ,r_calc_study,-0.16133859587451538,0.5164249873685562,-0.017117702220954434
1006,2024-12-20 15:39:42.374019 ,L_knee_study,0.2634896056578485,0.1640451586770737,0.34130085184665726
1006,2024-12-20 15:39:42.374019 ,L_mknee_study,0.14326481687286774,0.1390127575921738,0.3225196666965108
1006,2024-12-20 15:39:42.374019 ,L_ankle_study,0.22407517003277222,0.3922585657763207,-0.0042844049682994045
1006,2024-12-20 15:39:42.374019 ,L_mankle_study,0.13381186293819824,0.35483947759148715,-0.021579348300971524
1006,2024-12-20 15:39:42.374019 ,L_toe_study,0.251226188413891,0.2567982560920441,-0.05637499020008041
1006,2024-12-20 15:39:42.374019 ,L_calc_study,0.1328453587220041,0.4664849507587874,-0.027205430721320645
1006,2024-12-20 15:39:42.374019 ,L_5meta_study,0.2908961789534418,0.3158381915616715,-0.035845660423316494
1006,2024-12-20 15:39:42.374019 ,r_shoulder_study,-0.24162757230540832,0.308504942707988,1.166558182979546
1006,2024-12-20 15:39:42.374019 ,L_shoulder_study,0.11493504213550965,0.22142582004544376,1.1796662576446155
1006,2024-12-20 15:39:42.374019 ,C7_study,-0.043743450395670735,0.3558346367406571,1.2387917406806568
1006,2024-12-20 15:39:42.374019 ,r_thigh1_study,-0.262256814367977,0.3627397230791771,0.5804657928595166
1006,2024-12-20 15:39:42.374019 ,r_thigh2_study,-0.31068560314914306,0.3238752222585404,0.4874005310186963
1006,2024-12-20 15:39:42.374019 ,r_thigh3_study,-0.26560415161391815,0.4618780900689685,0.49792025163265274
1006,2024-12-20 15:39:42.374019 ,L_thigh1_study,0.19806087183216492,0.306869137935611,0.59439155477526
1006,2024-12-20 15:39:42.374019 ,L_thigh2_study,0.24624291228512207,0.2570937014150345,0.49620757922025727
1006,2024-12-20 15:39:42.374019 ,L_thigh3_study,0.22390788959721009,0.40555173148986934,0.49790208711715744
1006,2024-12-20 15:39:42.374019 ,r_sh1_study,-0.33146548105022033,0.2911923116969788,0.21647784783931778
1006,2024-12-20 15:39:42.374019 ,r_sh2_study,-0.32435092163821777,0.3381031564402306,0.10471204593273209
1006,2024-12-20 15:39:42.374019 ,r_sh3_study,-0.30845346880694946,0.3964699766564095,0.1605812080154042
1006,2024-12-20 15:39:42.374019 ,L_sh1_study,0.26884514259556214,0.21357626085755466,0.2207551069507222
1006,2024-12-20 15:39:42.374019 ,L_sh2_study,0.27334690260151306,0.25694513683793185,0.10862848832698868
1006,2024-12-20 15:39:42.374019 ,L_sh3_study,0.26191735433796326,0.32702901577231525,0.15685648396106766
1006,2024-12-20 15:39:42.374019 ,RHJC_study,-0.11461145264646133,0.5057090370881283,0.5847396898964267
1006,2024-12-20 15:39:42.374019 ,LHJC_study,0.06908302920320908,0.47891980027434466,0.58772377594801
1006,2024-12-20 15:39:42.374019 ,r_lelbow_study,-0.42141356898089966,0.15305239325043796,0.8746202059039693
1006,2024-12-20 15:39:42.374019 ,r_melbow_study,-0.3527888937070044,0.17973932986733554,0.8135780014047246
1006,2024-12-20 15:39:42.374019 ,r_lwrist_study,-0.22193789315959533,-0.0936648809385574,0.8832804627666097
1006,2024-12-20 15:39:42.374019 ,r_mwrist_study,-0.2734853459670218,-0.1324362718534744,0.8089198239097218
1006,2024-12-20 15:39:42.374019 ,L_lelbow_study,0.2338023202345697,0.06979468827721713,0.891981608415566
1006,2024-12-20 15:39:42.374019 ,L_melbow_study,0.18393339382866303,0.12255090837952731,0.82839450910183
1006,2024-12-20 15:39:42.374019 ,L_lwrist_study,0.01781436594584862,-0.13805371160033109,0.8574850477227788
1006,2024-12-20 15:39:42.374019 ,L_mwrist_study,0.054878288678917087,-0.14762103194716336,0.7791757352599721
1007,2024-12-20 15:39:42.419671 ,r.ASIS_study,-0.2007845233532629,0.40659993864875255,0.6610461518808775
1007,2024-12-20 15:39:42.419671 ,L.ASIS_study,0.10363402558834932,0.3610920643089336,0.6664163739129476
1007,2024-12-20 15:39:42.419671 ,r.PSIS_study,-0.06982939349143126,0.6095041667697948,0.7158650056168012
1007,2024-12-20 15:39:42.419671 ,L.PSIS_study,0.050335857703999495,0.5907132213590663,0.7182810053869657
1007,2024-12-20 15:39:42.419671 ,r_knee_study,-0.33871658550231076,0.23611887149792132,0.34069855219568534
1007,2024-12-20 15:39:42.419671 ,r_mknee_study,-0.23036417768923856,0.18992278330307422,0.3231096089526586
1007,2024-12-20 15:39:42.419671 ,r_ankle_study,-0.25859170065848447,0.4560211140899916,0.004971426789420086
1007,2024-12-20 15:39:42.419671 ,r_mankle_study,-0.177952770456954,0.40584523953776774,-0.009362655814034504
1007,2024-12-20 15:39:42.419671 ,r_toe_study,-0.302027631864234,0.3240044301031154,-0.05306490057264046
1007,2024-12-20 15:39:42.419671 ,r_5meta_study,-0.3316068242642126,0.3903673177240413,-0.03314985626493172
1007,2024-12-20 15:39:42.419671 ,r_calc_study,-0.16061790691344358,0.5146210154173892,-0.012332755263192219
1007,2024-12-20 15:39:42.419671 ,L_knee_study,0.263400207891778,0.15886667721252856,0.3454274058982305
1007,2024-12-20 15:39:42.419671 ,L_mknee_study,0.1439684291032114,0.13336572401504931,0.326719862286704
1007,2024-12-20 15:39:42.419671 ,L_ankle_study,0.22278160943062686,0.3874222149727863,0.0023878634616307792
1007,2024-12-20 15:39:42.419671 ,L_mankle_study,0.13334665788681888,0.3498138596890491,-0.01424707763944344
1007,2024-12-20 15:39:42.419671 ,L_toe_study,0.2512832988646784,0.2555590903041881,-0.05330778950010018
1007,2024-12-20 15:39:42.419671 ,L_calc_study,0.1313101310876169,0.4599417799739164,-0.0181013523891993
1007,2024-12-20 15:39:42.419671 ,L_5meta_study,0.28967253459961795,0.3146479760883373,-0.03216894262586312
1007,2024-12-20 15:39:42.419671 ,r_shoulder_study,-0.24552856789557553,0.3070510213850063,1.1539113939448766
1007,2024-12-20 15:39:42.419671 ,L_shoulder_study,0.11349191857846162,0.2218800669191402,1.1716063440486364
1007,2024-12-20 15:39:42.419671 ,C7_study,-0.04724000891326287,0.3543936719773334,1.2289111436053686
1007,2024-12-20 15:39:42.419671 ,r_thigh1_study,-0.2636340747925482,0.36790676020365176,0.5767422121658496
1007,2024-12-20 15:39:42.419671 ,r_thigh2_study,-0.3131410668942175,0.3271388148544353,0.485801231925147
1007,2024-12-20 15:39:42.419671 ,r_thigh3_study,-0.26810667322604276,0.46476403508614716,0.49201851046528144
1007,2024-12-20 15:39:42.419671 ,L_thigh1_study,0.19598938120873355,0.31091833465080676,0.5929310632578604
1007,2024-12-20 15:39:42.419671 ,L_thigh2_study,0.24470536006958865,0.25756036095600543,0.4968614847108297
1007,2024-12-20 15:39:42.419671 ,L_thigh3_study,0.2228745330718317,0.40547630913834987,0.49339635378565116
